fiscal_date,quarter,sales,cost_of_goods,gross_profit,operating_income,other_income_expense,net_income,eps_basic,eps_diluted,basic_shares_outstanding,diluted_shares_outstanding,ebitda,net_income_continuous_operations,minority_interests,preferred_stock_dividends,research_and_development,selling_general_and_administrative,other_operating_expenses,income,expense,ticker
2023-03-31,1.0,53367000000.0,8182000000.0,45185000000.0,25007000000.0,,19814000000.0,4.405,4.39,4499200000.0,4513200000.0,27578000000.0,19814000000.0,,,6728000000.0,13483000000.0,-33000000.0,852000000.0,1122000000.0,NVO
2022-12-31,4.0,48092000000.0,8262000000.0,39830000000.0,17087000000.0,,13592000000.0,,,2253894805.0,,10314000000.0,13592000000.0,,,8085000000.0,15091000000.0,-433000000.0,-3200000000.0,-8037000000.0,NVO
2023-12-31,4.0,38600000000.0,,,,,9307000000.0,,,,,,9307000000.0,,50000000.0,,13145000000.0,,,,JPM
2023-09-30,3.0,39761000000.0,,,,,13151000000.0,4.33,4.33,2927500000.0,2932100000.0,,13151000000.0,,80000000.0,,12852000000.0,,,,JPM
2023-06-30,2.0,38582000000.0,,,,,14472000000.0,4.76,4.75,2943800000.0,2948300000.0,,14472000000.0,,88000000.0,,12338000000.0,,,,JPM
2023-03-31,1.0,38348000000.0,,,,,12622000000.0,4.11,4.1,2968500000.0,2972700000.0,,12622000000.0,,73000000.0,,12721000000.0,,,,JPM
2022-12-31,4.0,34512000000.0,,,,,11008000000.0,3.58,3.57,2962900000.0,2967100000.0,,11008000000.0,,55000000.0,,11102000000.0,,,,JPM
2024-01-31,4.0,,,,,,,2.04,2.03,2690000000.0,2701000000.0,,,,,,,,,,WMT
2023-10-31,3.0,160804000000.0,121183000000.0,39621000000.0,6202000000.0,-4750000000.0,643000000.0,0.17,0.17,2693000000.0,2703000000.0,4583000000.0,643000000.0,-190000000.0,,,33419000000.0,,145000000.0,682000000.0,WMT
2023-07-31,2.0,161632000000.0,121850000000.0,39782000000.0,7316000000.0,3905000000.0,8053000000.0,2.93,2.92,2693000000.0,2703000000.0,14274000000.0,8053000000.0,-162000000.0,,,32466000000.0,,148000000.0,642000000.0,WMT
2023-04-30,1.0,152301000000.0,115284000000.0,37017000000.0,6240000000.0,-2995000000.0,1896000000.0,0.62,0.62,2694000000.0,2704000000.0,6197000000.0,1896000000.0,-223000000.0,,,30777000000.0,,107000000.0,664000000.0,WMT
2023-01-31,4.0,164048000000.0,125423000000.0,38625000000.0,5561000000.0,3848000000.0,5809000000.0,2.33,2.32,2696000000.0,2707000000.0,12323000000.0,5809000000.0,466000000.0,,,33064000000.0,,103000000.0,610000000.0,WMT
2023-12-31,4.0,94427000000.0,72425000000.0,22002000000.0,7689000000.0,,5675000000.0,5.897774,5.83,924925293.0,935000000.0,8663000000.0,5675000000.0,-220000000.0,,,,13339000000.0,,830000000.0,UNH
2023-09-30,3.0,92361000000.0,68973000000.0,23388000000.0,8526000000.0,,6038000000.0,6.31,6.24,926000000.0,936000000.0,9533000000.0,6038000000.0,-197000000.0,,,,13855000000.0,,834000000.0,UNH
2023-06-30,2.0,92903000000.0,70016000000.0,22887000000.0,8057000000.0,,5657000000.0,5.89,5.82,930000000.0,940000000.0,9078000000.0,5657000000.0,-183000000.0,,,,13809000000.0,,828000000.0,UNH
2023-03-31,1.0,91931000000.0,69250000000.0,22681000000.0,8086000000.0,798000000.0,5774000000.0,6.01,5.95,933000000.0,943000000.0,9056000000.0,5774000000.0,-163000000.0,,,,13625000000.0,,754000000.0,UNH
2022-12-31,4.0,82787000000.0,61905000000.0,20882000000.0,6891000000.0,855000000.0,4908000000.0,5.09743,5.03,934000000.0,947000000.0,7873000000.0,4908000000.0,-147000000.0,,,,13009000000.0,,676000000.0,UNH
2023-12-31,4.0,6548000000.0,1528000000.0,5020000000.0,3698000000.0,-229000000.0,2791000000.0,2.98,2.97,936000000.0,939000000.0,3877000000.0,2791000000.0,,,,1117000000.0,,,148000000.0,MA
2023-09-30,3.0,6533000000.0,1573000000.0,4960000000.0,3869000000.0,43000000.0,3198000000.0,3.4,3.39,941000000.0,943000000.0,4083000000.0,3198000000.0,,,,880000000.0,,,151000000.0,MA
2023-06-30,2.0,6269000000.0,1495000000.0,4774000000.0,3700000000.0,148000000.0,2845000000.0,3.01,3.0,946000000.0,949000000.0,3902000000.0,2845000000.0,,,,882000000.0,,,144000000.0,MA
2023-03-31,1.0,5748000000.0,1426000000.0,4322000000.0,3363000000.0,-378000000.0,2361000000.0,2.48,2.47,953000000.0,956000000.0,3560000000.0,2361000000.0,,,,768000000.0,,,132000000.0,MA
2022-12-31,4.0,5817000000.0,1381000000.0,4436000000.0,3192000000.0,24000000.0,2525000000.0,2.63,2.62,960000000.0,963000000.0,3387000000.0,2525000000.0,,,,1060000000.0,,,127000000.0,MA
2023-12-31,4.0,81688000000.0,63985000000.0,17703000000.0,8241000000.0,2656000000.0,8012000000.0,1.91,1.91,3994764398.0,4010000000.0,18637000000.0,8012000000.0,-382000000.0,,,2808000000.0,139000000.0,,272000000.0,XOM
2023-09-30,3.0,88570000000.0,66187000000.0,22383000000.0,11678000000.0,2190000000.0,9346000000.0,2.25,2.25,4025000000.0,4025000000.0,18283000000.0,9346000000.0,-276000000.0,,,2655000000.0,338000000.0,,169000000.0,XOM
2023-06-30,2.0,80795000000.0,60700000000.0,20095000000.0,9786000000.0,2119000000.0,8153000000.0,1.94,1.94,4066000000.0,4066000000.0,16147000000.0,8153000000.0,-273000000.0,,,2613000000.0,133000000.0,,249000000.0,XOM
2023-03-31,1.0,83644000000.0,59683000000.0,23961000000.0,14042000000.0,2920000000.0,11843000000.0,2.79,2.79,4102000000.0,4102000000.0,21206000000.0,11843000000.0,-413000000.0,,,2557000000.0,141000000.0,,159000000.0,XOM
2022-12-31,4.0,93164000000.0,66190000000.0,26974000000.0,16784000000.0,2265000000.0,13055000000.0,3.09,3.09,4126213592.0,4138000000.0,24113000000.0,13055000000.0,-305000000.0,,,2932000000.0,348000000.0,,207000000.0,XOM
2023-12-31,4.0,7237000000.0,3519700000.0,3717300000.0,2391900000.0,,2048100000.0,,,,,2797900000.0,2048100000.0,,,1041300000.0,284100000.0,,,,ASML
2023-09-30,3.0,6673000000.0,3211400000.0,3461600000.0,2182400000.0,,1893400000.0,4.81,4.81,393400000.0,393700000.0,2358600000.0,1893400000.0,,,991400000.0,287800000.0,,,,ASML
2023-06-30,2.0,6902300000.0,3358300000.0,3544000000.0,2263000000.0,,1941700000.0,4.93,4.93,393800000.0,394000000.0,2444200000.0,1941700000.0,,-65900000.0,999900000.0,281100000.0,,,,ASML
2023-03-31,1.0,6746200000.0,3333000000.0,3413200000.0,2205000000.0,,1955800000.0,4.96,4.95,394500000.0,394800000.0,2375300000.0,1955800000.0,,-41200000.0,947900000.0,260300000.0,,,,ASML
2022-12-31,4.0,6430200000.0,3119300000.0,3310900000.0,2124200000.0,,1816500000.0,4.6,4.6,394900000.0,395200000.0,2323600000.0,1816500000.0,,,906300000.0,280400000.0,,,19300000.0,ASML
2023-12-31,4.0,21395000000.0,6798000000.0,14597000000.0,4307000000.0,286000000.0,4049000000.0,-0.03,-0.03,2407200000.0,2430700000.0,6934000000.0,4049000000.0,,,4480000000.0,5810000000.0,,363000000.0,151000000.0,JNJ
2023-09-30,3.0,21351000000.0,6606000000.0,14745000000.0,5898000000.0,-864000000.0,26028000000.0,10.808907,10.21,2407178000.0,2549700000.0,8502000000.0,26028000000.0,,,3447000000.0,5400000000.0,,374000000.0,192000000.0,JNJ
2023-06-30,2.0,25530000000.0,8212000000.0,17318000000.0,6824000000.0,-45000000.0,5144000000.0,1.96,1.959097,2624489796.0,2625700000.0,9487000000.0,5144000000.0,,,3829000000.0,6665000000.0,,369000000.0,346000000.0,JNJ
2023-03-31,1.0,24746000000.0,8395000000.0,16351000000.0,7001000000.0,-7730000000.0,-68000000.0,-0.03,-0.03,2634300000.0,2634300000.0,8988000000.0,-68000000.0,,,3612000000.0,5738000000.0,,235000000.0,215000000.0,JNJ
2022-12-31,4.0,23706000000.0,7765000000.0,15941000000.0,4805000000.0,-645000000.0,3520000000.0,1.346346,1.33,2613597000.0,2663900000.0,3524000000.0,3520000000.0,,,4624000000.0,6512000000.0,,254000000.0,177000000.0,JNJ
2024-01-31,4.0,,,,,,,2.83,2.82,991000000.0,994000000.0,,,,,,,,,,HD
2023-10-31,3.0,37710000000.0,24972000000.0,12738000000.0,5406000000.0,,3810000000.0,3.83,3.81,996000000.0,999000000.0,6282000000.0,3810000000.0,,,,6649000000.0,,49000000.0,487000000.0,HD
2023-07-31,2.0,42916000000.0,28759000000.0,14157000000.0,6589000000.0,,4659000000.0,4.66,4.65,1000000000.0,1003000000.0,7425000000.0,4659000000.0,,,,6915000000.0,,41000000.0,469000000.0,HD
2023-04-30,1.0,37257000000.0,24700000000.0,12557000000.0,5551000000.0,,3873000000.0,3.83,3.82,1010000000.0,1013000000.0,6377000000.0,3873000000.0,,,,6355000000.0,,33000000.0,474000000.0,HD
