symbol,name,exchange,sector,industry,employees,zip,state,country
0583,Great Wall Pan Asia Holdings Limited,HKEX,Real Estate,Real Estate Services,12,,,Hong Kong
NERG,"NuTech Energy Resources, Inc.",OTC,,,0,82718,WY,United States
CY9D,Microbot Medical Inc,FSX,Healthcare,Medical Instruments & Supplies,18,02043,MA,United States
83A,FASADGRUPPEN GROUP AB,XBER,,,0,,,Germany
MMM,3M Co,NYSE,Industrials,Conglomerates,85000,55144-1000,MN,United States
131030,"DHP Korea Co., Ltd.",KRX,,,0,,,South Korea
ISEC,iShares Enhanced Cash ETF,ASX,,,0,,,Australia
VE,Vanguard FTSE Developed Europe All Cap Index ETF,TSX,,,0,,,Canada
LB4A,Kelso Technologies Inc.,FSX,Industrials,Railroads,0,V4A 8J1,BC,Canada
49MW,"Marvell Technology, Inc.",MTA,,,7418,19801,DE,United States
FOODSIN,Foods and Inns Limited,BSE,Consumer Defensive,Packaged Foods,432,400038,,India
PW2,"Powell Industries, Inc.",FSX,Industrials,Electrical Equipment & Parts,2363,77075-1180,TX,United States
FPOR11,Porto Sudeste Royalties Fundo Investimento Participacoes Infraestrutura Fund,BOVESPA,,,0,,,Brazil
068790,"DMS Co.,Ltd.",KRX,,,0,,,South Korea
IDVA,Industrivarden AB,FSX,Financial Services,Asset Management,15,114 51,,Sweden
T2V1,Tryg A/S ,FSX,Financial Services,Insurance - Diversified,6805,2670,,Denmark
UREKA,Eureka Design Public Company Limited,SET,Industrials,Specialty Industrial Machinery,0,12150,,Thailand
1CO1,Covestro AG,FSX,Basic Materials,Specialty Chemicals,17536,51373,,Germany
LU2290522684,InPost S.A.,XSTU,,,0,,,Germany
MSKY,PT MNC Sky Vision Tbk,IDX,Communication Services,Entertainment,743,11520,,Indonesia
WDIT24,WARR DESTINATION ITALIA 2021-20,MTA,,,0,,,Italy
600999,"China Merchants Securities Co., Ltd.",SSE,Financial Services,Capital Markets,12488,518046,,China
DEFI,Hashdex Bitcoin Futures ETF,NYSE,,,0,,,United States
BJ8,"Bank of Jiujiang Co., Ltd.",FSX,Financial Services,Banks—Regional,4967,332000,,China
6BF,Bakkafrost P-F,FSX,Consumer Defensive,Farm Products,1778,625,,Denmark
J0Z,Auscan Resources Inc.,FSX,,,0,V6E 3V7,BC,Canada
0UG9,Advantage Energy Ltd.,LSE,,,61,T2P 5E9,AB,Canada
MMC,Marsh & McLennan Cos Inc,NYSE,Financial Services,Insurance Brokers,85000,10036-2774,NY,United States
P7V,Photon Energy N.V.,MUNICH,Technology,Solar,348,1083 HN,,Netherlands
052134,052134.TW,TWSE,,,0,,,Taiwan
SPU,Snap-on Inc,FSX,Industrials,Tools & Accessories,13200,53143,WI,United States
30Z,TAO Commodities Limited,FSX,Basic Materials,Other Industrial Metals & Mining,0,28202,NC,United States
JX90,RCB OE TrackX3 l ThyssenKrupp,VSE,,,0,,,Austria
ZNHH,China Southern Airlines Co Ltd,FSX,Industrials,Airlines,97899,510403,,China
BEN.H,Butte Energy Inc.,TSXV,Financial Services,Shell Companies,0,V7X 1J1,BC,Canada
RAM,Aries I Acquisition Corporation,NASDAQ,Financial Services,Shell Companies,0,1003,,United States
7504,Kohsoku Corporation,JPX,Consumer Cyclical,Packaging & Containers,1002,983-8555,,Japan
HYPR,"Hyperfine, Inc.",NASDAQ,Healthcare,Medical Devices,136,06437,CT,United States
XPCI11,Xp Credito Imobiliario ae Fundo De Investimento Imobiliario,BOVESPA,,,0,,,Brazil
